"Tabela de palavras reservadas",,,,,
"and","def","for","is","raise","False"
"as","del","from","lambda","return","None"
"assert","elif","global","nonlocal","try","True"
"break","else","if","not","while",
"class","except","import","or","with",
"continue","finally","in","pass","yield",
,,,,,
,,,,,
"Palavra reservada","Tradução",,,,
"and","e",,,,
"as","como",,,,
"assert","assegure",,,,
"break","quebra",,,,
"class","classe",,,,
"continue","continue",,,,
"def","def",,,,
"del","apague",,,,
"elif","senão",,,,
"else","senão",,,,
"except","exceto",,,,
"finally","finalmente",,,,
"for","para",,,,
"from","de",,,,
"global","global",,,,
"if","se",,,,
"import","importar",,,,
"in","em",,,,
"is","é",,,,
"lambda","lambda",,,,
"nonlocal","não-local",,,,
"not","não",,,,
"or","ou",,,,
"pass","passe",,,,
"raise","lançar",,,,
"return","retornar",,,,
"try","tentar",,,,
"while","enquanto",,,,
"with","com",,,,
"yield","produzir",,,,
"False","Falso",,,,
"None","Nada",,,,
"True","Verdadeiro",,,,
